review_number,block,block_chronology,block_position
776,RepositoriesView_7,unique/ini/mei/final,mesmo arquivo
776,RepositoriesView_10,unique/ini/mei/final,mesmo arquivo
776,RepositoriesView_4,unique/ini/mei/final,mesmo arquivo
778,RepositoriesView_9,unique/ini,mesmo arquivo
778,RepositoriesView_4,unique/ini,mesmo arquivo
778,RepositoriesView_7,mei,mesmo arquivo
778,RepositoriesView_2_rev_1,mei,mesmo arquivo
778,GitSelectRepositoryPage_1,mei,mesmo arquivo
778,GitSelectRepositoryPage_3,mei/final,mesmo arquivo
778,RepositoriesView_11,unique/final,mesmo arquivo
778,RepositoriesView_6,unique/final,mesmo arquivo
778,RepositoriesView_14,unique/final,mesmo arquivo
783,RepositoriesView_6,unique/ini/mei/final,mesmo arquivo
783,Activator_2,unique/ini/mei/final,mesmo arquivo
783,Activator_3,unique/ini/mei/final,ambos
784,RepositoriesView_6,unique/ini/mei/final,mesmo arquivo
784,Activator_2,unique/ini/mei/final,mesmo arquivo
784,Activator_3,unique/ini/mei/final,ambos
791,GitSelectWizardPage_5,ini/mei/final,arquivo diferente
805,RepositorySelectionPage_1,ini/mei/final,mesmo arquivo
868,RefSpecPanel_0,unique/ini/mei/final,mesmo arquivo
891,RepositoriesView_5,mei,mesmo arquivo
891,GitBlobResourceVariant_2,mei,mesmo arquivo
891,GitBlobResourceVariant_1,unique/final,mesmo arquivo
909,GitSynchronizeData_0,ini/mei/final,arquivo diferente
929,ConfigureUriPage_20,mei,mesmo arquivo
929,RepositoriesViewContentProvider_26,mei,mesmo arquivo
1007,ConfigureUriPage_2,ini/mei,mesmo arquivo
1007,RepositoriesViewContentProvider_6,ini/mei,mesmo arquivo
1007,ConfigureUriPage_4,mei,mesmo arquivo
1007,RepositoriesViewContentProvider_8,mei,mesmo arquivo
1007,RepositoriesViewContentProvider_14,mei/final,mesmo arquivo
1064,GitBlobResourceVariant_6,ini/mei,mesmo arquivo
1071,RepositoriesView_6,ini/mei/final,mesmo arquivo
1071,GitBlobResourceVariant_2,ini/mei/final,mesmo arquivo
1075,GitProjectsImportPage_2,ini/mei/final,arquivo diferente
1087,DeleteBranchCommand_2,unique/ini,mesmo arquivo
1087,DeleteBranchCommand_1,unique/ini,mesmo arquivo
1117,CreateTagDialog_2,mei/final,arquivo diferente
1129,PushWizard_0,ini/mei/final,ambos
1145,CommitMessageViewer_0,unique/ini/mei/final,arquivo diferente
1159,CommitDialog_5,ini/mei/final,mesmo arquivo
1173,GitHistoryPage_2,unique/ini,mesmo arquivo
1229,GitCloneWizard_1,unique/ini,mesmo arquivo
1229,GitCloneWizard_2,unique/ini,arquivo diferente
1240,CommitDialog_1,unique/ini/mei/final,mesmo arquivo
1240,CommitDialog_0,unique/ini/mei/final,mesmo arquivo
1250,RepositoryPropertySource_17,unique/ini,arquivo diferente
1250,RepositoryPropertySource_18,ini/mei,arquivo diferente
1274,CompareUtils_0,ini/mei/final,arquivo diferente
1282,RepositoriesView_0,ini/mei/final,mesmo arquivo
1282,RepositoriesView_1,ini/mei/final,mesmo arquivo
1283,CompareVersionsHandler_1,ini/mei/final,mesmo arquivo
1284,CreateBranchPage_3,ini/mei/final,mesmo arquivo
1326,SetQuickdiffBaselineHandler_7,unique/final,arquivo diferente
1336,DiscardChangesActionHandler_0,unique/ini/mei/final,mesmo arquivo
1337,GitCreateProjectViaWizardWizard_1,ini/mei/final,mesmo arquivo
1357,GitModelCommit_1,unique/ini,arquivo diferente
1360,GitResourceVariantTree_0,apa/des/apa,mesmo arquivo
1360,GitResourceVariantTree_1,apa/des/apa,mesmo arquivo
1379,RepositoryPropertySource_4,ini/mei/final,arquivo diferente
1411,ConfigureUriPage_4,unique/ini/mei/final,mesmo arquivo
1411,RepositoriesViewContentProvider_8,unique/ini/mei/final,mesmo arquivo
1421,Activator_1,unique/ini,mesmo arquivo
1429,CreateTagDialog_2,unique/ini/mei/final,arquivo diferente
1467,RepositoriesViewContentProvider_2,ini/mei/final,mesmo arquivo
1518,SourceBranchPage_0,unique/ini/mei/final,mesmo arquivo
1581,ContextMenuHelper_0,unique/ini,mesmo arquivo
1581,ContextMenuHelper_0_rev_1,mei/final,mesmo arquivo
1636,GitCloneWizard_0,unique/ini/mei/final,mesmo arquivo
1637,RemoveCommand_0,unique/ini/mei/final,mesmo arquivo
1714,FindToolbarThread_2,mei/final,mesmo arquivo
1714,FindToolbar_1,mei/final,mesmo arquivo
1725,FetchResultDialog_4,ini/mei/final,arquivo diferente
1725,RepositoryActionHandler_4,mei/final,arquivo diferente
1726,AbstractBranchSelectionDialog_3,ini/mei/final,mesmo arquivo
1745,CheckoutCommand_0,mei/final,arquivo diferente
1748,PushConfiguredRemoteAction_0,ini/mei/final,arquivo diferente
1752,CheckoutCommitHandler_1,ini/mei/final,arquivo diferente
1752,CreateTagCommand_2,ini/mei/final,arquivo diferente
1752,TagActionHandler_0,unique/ini,arquivo diferente
1753,GitHistoryPage_0,ini/mei/final,mesmo arquivo
1753,GitHistoryPage_1,unique/ini,mesmo arquivo
1753,CommitMessageViewer_2,unique/final,ambos
1753,OpenInTextEditorHandler_21,unique/final,arquivo diferente
1753,ShowVersionsHandler_25,unique/final,mesmo arquivo
1753,ShowVersionsHandler_26,unique/final,arquivo diferente
1753,GitHistoryPage_10,unique/final,mesmo arquivo
1753,ShowVersionsHandler_27,unique/final,mesmo arquivo
1753,OpenInTextEditorHandler_23,unique/final,ambos
1763,GitHistoryPage_0,ini/mei/final,mesmo arquivo
1764,OpenInTextEditorHandler_9,ini/mei/final,ambos
1764,OpenInTextEditorHandler_8,ini/mei/final,arquivo diferente
1768,CheckoutCommand_16,unique/ini/mei/final,arquivo diferente
1768,PushConfiguredRemoteAction_15,unique/ini/mei/final,arquivo diferente
1768,FindToolbar_3,unique/ini/mei/final,mesmo arquivo
1768,FindToolbarThread_4,unique/ini/mei/final,mesmo arquivo
1778,EclipseProxySelector_0,unique/ini/mei/final,mesmo arquivo
1788,RepositoriesViewLabelProvider_1,ini/mei/final,mesmo arquivo
1788,RepositoriesViewLabelProvider_2,ini/mei/final,mesmo arquivo
1789,CommitGraphTable_0,unique/ini/mei/final,mesmo arquivo
1789,GraphLabelProvider_2,unique/ini/mei/final,mesmo arquivo
1790,RepositoriesView_0,ini/mei/final,arquivo diferente
1806,RepositoriesViewLabelProvider_0,unique/ini/mei/final,mesmo arquivo
1807,GitHistoryPage_0,ini/mei/final,mesmo arquivo
1825,CommitFileDiffViewer_3,unique/ini,arquivo diferente
1825,CommitMessageViewer_12,unique/ini,ambos
1825,FileDiffLabelProvider_15,ini/mei/final,arquivo diferente
1834,CommitMessageViewer_0,ini/mei/final,ambos
1837,FileDiffLabelProvider_6,unique/ini/mei/final,arquivo diferente
1856,GitHistoryPage_9,unique/final,mesmo arquivo
1856,GitHistoryPage_11,unique/final,mesmo arquivo
1856,GitHistoryPage_3,unique/final,mesmo arquivo
1856,GitHistoryPage_5,unique/final,mesmo arquivo
1856,GitHistoryPage_10,unique/final,mesmo arquivo
1873,DeleteBranchCommand_0,unique/ini/mei/final,mesmo arquivo
1912,FetchResultDialog_13,unique/ini/mei/final,arquivo diferente
1912,RepositoryActionHandler_9,unique/ini/mei/final,arquivo diferente
1912,AbstractBranchSelectionDialog_10,unique/ini/mei/final,mesmo arquivo
1912,CheckoutCommand_22,unique/ini/mei/final,arquivo diferente
1912,PushConfiguredRemoteAction_20,unique/ini/mei/final,arquivo diferente
1914,FindToolbar_3,unique/ini/mei/final,mesmo arquivo
1914,FindToolbarThread_4,unique/ini/mei/final,mesmo arquivo
1916,OpenInTextEditorHandler_22,unique/ini/mei/final,arquivo diferente
1916,GitHistoryPage_7,unique/ini/mei/final,mesmo arquivo
1916,OpenInTextEditorHandler_23,unique/ini/mei/final,ambos
1917,RepositoriesViewLabelProvider_11,unique/ini/mei/final,mesmo arquivo
1917,CreateTagCommand_16,unique/ini/mei/final,arquivo diferente
1917,RepositoriesViewLabelProvider_12,unique/ini/mei/final,mesmo arquivo
1917,CommitGraphTable_5,unique/ini/mei/final,mesmo arquivo
1917,EclipseProxySelector_0,unique/ini/mei/final,mesmo arquivo
1917,GraphLabelProvider_7,unique/ini/mei/final,mesmo arquivo
1917,RepositoriesView_9,unique/ini/mei/final,arquivo diferente
1917,TagActionHandler_2,unique/ini/mei/final,arquivo diferente
1917,CheckoutCommitHandler_8,unique/ini/mei/final,arquivo diferente
1918,RepositoriesViewLabelProvider_0,unique/ini/mei/final,mesmo arquivo
1919,GitHistoryPage_0,unique/ini/mei/final,mesmo arquivo
1923,GitHistoryPage_33,unique/ini/mei/final,mesmo arquivo
1923,GitHistoryPage_41,unique/ini/mei/final,mesmo arquivo
1923,GitHistoryPage_36,unique/ini/mei/final,mesmo arquivo
1923,DeleteBranchCommand_46,unique/ini/mei/final,mesmo arquivo
1923,FileDiffLabelProvider_28,unique/ini/mei/final,arquivo diferente
1923,CommitMessageViewer_25,unique/ini/mei/final,ambos
1923,GitHistoryPage_34,unique/ini/mei/final,mesmo arquivo
1923,GitHistoryPage_42,unique/ini/mei/final,mesmo arquivo
1923,GitHistoryPage_43,unique/ini/mei/final,mesmo arquivo
1928,GitHistoryPage_1,unique/ini,mesmo arquivo
1930,GitModelBlob_3,unique/mei,arquivo diferente
1954,GitDocument_1,unique/ini/mei/final,mesmo arquivo
1954,GitDocument_0,unique/ini/mei/final,mesmo arquivo
1961,RepositorySelectionPage_7,ini/mei/final,mesmo arquivo
1987,GitPreferenceRoot_2,mei/final,mesmo arquivo
2056,GitProvider_0,ini/mei/final,arquivo diferente
2056,GitProjectData_3,ini/mei,mesmo arquivo
2056,GitProjectData_3_rev_4,unique/final,mesmo arquivo
2082,RebaseResultDialog_2,mei/final,mesmo arquivo
2087,GitPreferenceRoot_7,unique/ini/mei/final,mesmo arquivo
2155,Activator_2,mei/final,mesmo arquivo
2163,RefSpecPanel_4,mei,mesmo arquivo
2163,UIUtils_4,mei/final,mesmo arquivo
2163,SimpleConfigureFetchDialog_7,unique/mei,arquivo diferente
2163,PushResultDialog_9,mei/final,arquivo diferente
2163,SimpleConfigurePushDialog_12,unique/mei,arquivo diferente
2163,SimpleConfigureFetchDialog_5,unique/mei,arquivo diferente
2165,DiscardChangesOperation_0,ini/mei/final,mesmo arquivo
2178,RepositoryPropertySource_4,ini/mei/final,mesmo arquivo
2181,FetchResultDialog_6,ini/mei,mesmo arquivo
2181,PushConfiguredRemoteAction_11,ini/mei,arquivo diferente
2181,RefSpecPanel_2,mei/final,mesmo arquivo
2181,FetchResultDialog_3,mei/final,ambos
2186,GitHistoryPage_0,ini/mei/final,mesmo arquivo
2187,GitDocument_0,ini/mei/final,mesmo arquivo
2189,RepositorySearchDialog_0,ini/mei/final,mesmo arquivo
2193,SourceBranchPage_0,ini/mei/final,arquivo diferente
2206,Activator_2,unique/ini/mei/final,mesmo arquivo
2210,Activator_2,unique/ini/mei/final,mesmo arquivo
2215,GitDocument_0,ini/mei/final,mesmo arquivo
2246,SWTUtils_0,mei/final,arquivo diferente
2249,GitHistoryPage_15,ini/mei/final,mesmo arquivo
2249,GitHistoryPage_8_rev_1,mei/final,mesmo arquivo
2249,GitHistoryPage_7,mei/final,mesmo arquivo
2249,GitHistoryPage_10,mei/final,ambos
2276,SelectSynchronizeResourceDialog_1,unique/ini/mei/final,mesmo arquivo
2287,SourceBranchPage_9,unique/ini/mei/final,arquivo diferente
2287,SelectSynchronizeResourceDialog_25,unique/ini/mei/final,mesmo arquivo
2287,SWTUtils_6,unique/ini/mei/final,arquivo diferente
2308,GitModelRoot_0,ini/mei/final,arquivo diferente
2326,CompareTreeView_0,ini/mei/final,arquivo diferente
2330,AbstractHistoryCommanndHandler_0,ini/mei/final,arquivo diferente
2332,CompareWithIndexActionHandler_0,unique/ini,arquivo diferente
2332,CompareWithIndexActionHandler_0_rev_1,mei,ambos
2332,CompareWithIndexActionHandler_1,mei,arquivo diferente
2332,CompareWithIndexActionHandler_1_rev_4,mei/final,arquivo diferente
2347,PushOperation_0,ini/mei/final,mesmo arquivo
2347,PushOperation_1,ini/mei/final,mesmo arquivo
2352,FetchResultDialog_2,ini/mei/final,arquivo diferente
2372,CompareTreeView_7,ini/mei,mesmo arquivo
2372,CompareTreeView_0,unique/mei,mesmo arquivo
2372,CompareTreeView_8_rev_2,mei/final,mesmo arquivo
2390,GitMergeEditorInput_7,ini/mei/final,mesmo arquivo
2390,GitMergeEditorInput_8,ini/mei/final,mesmo arquivo
2390,GitMergeEditorInput_1,ini/mei/final,mesmo arquivo
2390,GitMergeEditorInput_9,ini/mei/final,mesmo arquivo
2422,PushConfiguredRemoteCommand_2,ini/mei/final,arquivo diferente
2488,PushConfiguredRemoteCommand_16,unique/ini/mei/final,arquivo diferente
2497,CompareWithHeadActionHandler_2,ini/mei/final,arquivo diferente
2497,CompareWithHeadActionHandler_0,ini/mei/final,arquivo diferente
2497,CompareWithHeadActionHandler_1,ini/mei/final,ambos
2518,CommitMessageViewer_3,unique/ini/mei/final,arquivo diferente
2536,RebaseResultDialog_6,ini/mei/final,arquivo diferente
2536,RebaseResultDialog_4,ini/mei/final,arquivo diferente
2536,RebaseResultDialog_2,ini/mei/final,mesmo arquivo
2536,RebaseResultDialog_3,ini/mei/final,arquivo diferente
2536,RebaseResultDialog_5,ini/mei/final,arquivo diferente
2590,RemoveCommand_2,unique/ini/mei/final,mesmo arquivo
2590,RemoveCommand_1,unique/ini/mei/final,mesmo arquivo
2596,GitResourceVariantComparator_0,ini/mei/final,mesmo arquivo
2600,GitLightweightDecorator_2,mei/final,mesmo arquivo
2610,CommitDialog_1,ini/mei/final,mesmo arquivo
2610,CommitDialogPreferencePage_2,ini/mei/final,arquivo diferente
2882,CommitDialogPreferencePage_0,ini/mei/final,arquivo diferente
2899,BranchOperationUI_0,ini/mei/final,mesmo arquivo
2910,BranchOperationUI_0,ini/mei/final,mesmo arquivo
2974,GitMoveDeleteHook_0,ini/mei/final,mesmo arquivo
2975,GitMoveDeleteHook_0,unique/ini,mesmo arquivo
2975,GitMoveDeleteHook_0_rev_1,unique/final,mesmo arquivo
2981,CreateTagDialog_0,ini/mei/final,arquivo diferente
2997,ResetOperation_0,ini/mei/final,mesmo arquivo
2999,GitModelWorkingFile_6,ini/mei/final,arquivo diferente
3071,UIUtils_0,ini/mei/final,arquivo diferente
3072,GitCloneWizard_5,ini/mei/final,mesmo arquivo
3138,GitProjectsImportPage_0,ini/mei/final,mesmo arquivo
3162,ResetOperation_1,unique/ini/mei/final,mesmo arquivo
3163,CloneDestinationPage_0,unique/ini/mei/final,mesmo arquivo
3188,BranchOperationUI_0,unique/ini/mei/final,mesmo arquivo
3213,GitProjectsImportPage_26,unique/ini/mei/final,mesmo arquivo
3234,GitSynchronizeWizardPage_3,ini/mei/final,mesmo arquivo
3234,GitSynchronizeWizardPage_2,ini/mei/final,arquivo diferente
3297,GitPreferenceRoot_0,ini/mei/final,arquivo diferente
3298,GitPreferenceRoot_0,unique/ini/mei/final,arquivo diferente
3325,RepositoriesViewLabelProvider_3,ini/mei/final,arquivo diferente
3352,CommitDialog_0,unique/ini/mei/final,arquivo diferente
3369,CommitUI_4,ini/mei/final,mesmo arquivo
3369,CommitUI_8,ini/mei/final,mesmo arquivo
3369,CommitUI_9,ini/mei/final,mesmo arquivo
3369,CommitOperation_3,ini/mei/final,mesmo arquivo
3369,CommitUI_5,ini/mei/final,mesmo arquivo
3370,CommitGraphTable_0,ini/mei/final,arquivo diferente
3392,GitSynchronizeWizardPage_3,ini/mei,mesmo arquivo
3392,GitSynchronizeWizardPage_2,ini/mei,mesmo arquivo
3442,CommitFileDiffViewer_0,ini/mei/final,arquivo diferente
3442,CommitFileDiffViewer_1,ini/mei/final,ambos
3472,ExistingOrNewPage_4,ini/mei,mesmo arquivo
3472,CreateRepositoryPage_3,unique/mei,arquivo diferente
3472,SharingWizard_18,mei/final,arquivo diferente
3473,CommitDialog_5,ini/mei,mesmo arquivo
3473,CommitDialog_3,ini/mei,mesmo arquivo
3485,CommitDialog_0,ini/mei/final,arquivo diferente
3501,CompareWithHeadActionHandler_0,unique/ini/mei/final,arquivo diferente
3503,CommitOperation_0,ini/mei/final,mesmo arquivo
3503,StagingView_5,ini/mei/final,arquivo diferente
3503,StagingView_9,mei/final,mesmo arquivo
3507,CommitDialog_1,ini/mei,mesmo arquivo
3507,StagingView_2,mei/final,mesmo arquivo
3510,CreateRepositoryPage_1,ini/mei/final,arquivo diferente
3552,ExistingOrNewPage_0,unique/ini/mei/final,mesmo arquivo
3552,SharingWizard_5,unique/ini/mei/final,mesmo arquivo
3552,ExistingOrNewPage_2,unique/ini/mei/final,mesmo arquivo
3552,ExistingOrNewPage_4,unique/ini/mei/final,mesmo arquivo
3575,RepositorySearchDialog_0,ini/mei/final,arquivo diferente
3579,CleanActionHandler_2,unique/ini/mei/final,arquivo diferente
3604,CommitOperation_0,unique/ini/mei/final,mesmo arquivo
3604,StagingView_12,unique/ini/mei/final,arquivo diferente
3604,StagingView_10,unique/ini/mei/final,mesmo arquivo
3606,StagingView_4,ini/mei/final,ambos
3628,CommitOperation_0,unique/ini/mei/final,mesmo arquivo
3629,StagingView_0,unique/ini,mesmo arquivo
3629,StagingView_0_rev_1,mei/final,mesmo arquivo
3634,CleanActionHandler_5,mei,arquivo diferente
3655,StagingView_12,unique/ini/mei/final,mesmo arquivo
3659,RepositorySearchDialog_0,unique/ini/mei/final,arquivo diferente
3674,RemoveFromIndexActionHandler_4,mei/final,arquivo diferente
3674,AddToIndexActionHandler_3,mei/final,arquivo diferente
3710,StagingView_7,unique/ini/mei/final,arquivo diferente
3711,StagingView_3,ini/mei/final,arquivo diferente
3720,GitModelCache_4,ini/mei/final,mesmo arquivo
3720,GitModelSynchronizeParticipant_5,mei/final,mesmo arquivo
3738,RepositoriesView_1,unique/mei,mesmo arquivo
3738,RepositoriesView_1_rev_4,unique/final,mesmo arquivo
3773,GitPreferenceRoot_0,ini/mei/final,arquivo diferente
3784,ReflogView_0,unique/ini/mei/final,arquivo diferente
3789,ReflogViewContentProvider_1,ini/mei/final,arquivo diferente
3796,EGitCredentialsProvider_2,unique/final,arquivo diferente
3802,GitHistoryPage_0,unique/ini,ambos
3802,GitHistoryPage_0_rev_1,unique/mei,mesmo arquivo
3802,GitHistoryPage_0_rev_2,unique/final,mesmo arquivo
3807,CloneDestinationPage_0,unique/ini/mei/final,mesmo arquivo
3812,AddToIndexActionHandler_0,ini/mei/final,arquivo diferente
3821,GitRemoteFile_3,ini/mei/final,arquivo diferente
3822,GitModelBlob_0,unique/ini/mei/final,mesmo arquivo
3838,EclipseGitProgressTransformer_1,unique/final,mesmo arquivo
3839,GitHistoryPage_0,ini/mei,ambos
3839,GitHistoryPage_0_rev_4,unique/final,mesmo arquivo
3840,FetchResultTable_9,ini/mei,mesmo arquivo
3840,FetchResultTable_8,ini/mei,arquivo diferente
3840,FetchResultTable_9_rev_2,mei,arquivo diferente
3840,FetchResultTable_13,mei,arquivo diferente
3840,FetchResultTable_14,mei,mesmo arquivo
3840,FetchResultTable_11,mei/final,ambos
3867,PushResultTable_6,ini/mei/final,mesmo arquivo
3869,PushResultTable_0,ini/mei/final,arquivo diferente
3872,GitHistoryPage_0,unique/ini,mesmo arquivo
3872,GitHistoryPage_0_rev_1,mei/final,mesmo arquivo
3880,RepositoriesView_1,ini/mei/final,mesmo arquivo
3886,GitProjectPropertyPage_2,unique/ini,arquivo diferente
3891,GitSyncCache_2,mei/final,mesmo arquivo
3894,RepositoriesViewCommandHandler_0,ini/mei/final,mesmo arquivo
3918,CommitGraphTable_2,unique/ini/mei/final,mesmo arquivo
3992,ReflogView_0,ini/mei/final,arquivo diferente
4004,CommitDialog_0,mei/final,mesmo arquivo
4058,PasteCommand_0,ini/mei/final,mesmo arquivo
4103,CommitUI_3,unique/ini,ambos
4145,GitModelBlob_11,ini/mei/final,arquivo diferente
4145,GitModelBlob_13,apa/des/apa,mesmo arquivo
4145,GitModelBlob_13,apa/des/apa,mesmo arquivo
4145,GitModelTree_22,ini/mei/final,arquivo diferente
4155,CheckoutDialog_4,unique/ini/mei/final,arquivo diferente
4165,CheckoutDialog_4,unique/ini,arquivo diferente
4165,CheckoutDialog_4_rev_1,mei/final,arquivo diferente
4169,CreateBranchCommand_3,mei/final,mesmo arquivo
4169,CreateBranchCommand_2,mei/final,mesmo arquivo
4196,LocalNonWorkspaceTypedElement_9,mei/final,arquivo diferente
4200,IndexDiffCacheEntry_0,mei/final,arquivo diferente
4200,IndexDiffCacheEntry_1,mei/final,arquivo diferente
4216,GitCloneWizard_2,unique/ini/mei/final,mesmo arquivo
4247,GitPreferenceRoot_0,unique/ini/mei/final,arquivo diferente
4258,GitPreferenceRoot_1,unique/ini/mei/final,arquivo diferente
4267,GitLabelProvider_0,ini/mei/final,mesmo arquivo
4300,ReflogView_0,ini/mei,mesmo arquivo
4300,ReflogView_0_rev_2,mei/final,mesmo arquivo
4308,GitProjectSetCapability_1,unique/ini,mesmo arquivo
4308,GitProjectSetCapability_0,unique/ini,mesmo arquivo
4308,GitProjectSetCapability_1_rev_1,unique/final,mesmo arquivo
4308,GitProjectSetCapability_0_rev_1,unique/final,mesmo arquivo
4312,GitProjectSetCapability_2,unique/ini,mesmo arquivo
4321,DecoratableResourceAdapter_0,unique/ini/mei/final,mesmo arquivo
4323,DecoratableResourceAdapter_0,unique/ini,mesmo arquivo
4347,DiscardChangesOperation_2,ini/mei/final,mesmo arquivo
4406,GitResourceDeltaVisitor_0,unique/mei,arquivo diferente
4557,StagingViewContentProvider_8,ini/mei/final,mesmo arquivo
4557,StagingViewContentProvider_7,ini/mei/final,mesmo arquivo
4559,CloneDestinationPage_0,mei,arquivo diferente
4570,SpellcheckableMessageArea_1,unique/ini,mesmo arquivo
4622,CommitFileDiffViewer_3,ini/mei,mesmo arquivo
4622,CommitFileDiffViewer_2,ini/mei/final,mesmo arquivo
4622,CommitFileDiffViewer_4,mei/final,mesmo arquivo
4631,StagingView_2,unique/final,arquivo diferente
4640,RepositoriesView_0,ini/mei/final,mesmo arquivo
4640,RepositoriesView_1,ini/mei/final,mesmo arquivo
4663,StagingView_0,ini/mei/final,mesmo arquivo
4859,GitMoveDeleteHook_0,unique/ini/mei/final,mesmo arquivo
4877,GitLightweightDecorator_1,ini/mei/final,mesmo arquivo
4880,GitMoveDeleteHook_0,unique/ini/mei/final,mesmo arquivo
4907,GitSelectRepositoryPage_0,unique/ini,mesmo arquivo
4907,RepositorySearchDialog_4,ini/mei/final,mesmo arquivo
4907,RepositorySearchDialog_3,ini/mei/final,mesmo arquivo
4907,RepositorySearchDialog_2,ini/mei/final,mesmo arquivo
4907,RepositorySearchDialog_5,ini/mei/final,mesmo arquivo
4923,CommitMessageViewer_0,ini/mei,mesmo arquivo
4923,CommitMessageViewer_1,ini/mei,mesmo arquivo
4943,GitCloneWizard_2,ini/mei/final,arquivo diferente
4971,GitCreatePatchWizard_7,unique/ini,mesmo arquivo
4993,AbstractSharedCommandHandler_0,unique/ini/mei/final,arquivo diferente
4996,CommitGraphTable_0,ini/mei/final,mesmo arquivo
4999,RefSpecDialog_4,mei/final,mesmo arquivo
5018,GitCloneWizard_2,ini/mei/final,arquivo diferente
