review_number,block,block_chronology,block_position
23785,ShowViewDialog_11,ini/mei,mesmo arquivo
23785,ShowViewDialog_12,unique/ini,mesmo arquivo
23785,ShowViewDialog_13,unique/ini,mesmo arquivo
23785,ShowViewDialog_6,ini/mei/final,mesmo arquivo
23785,ShowViewDialog_7,ini/mei/final,ambos
23785,ShowViewDialog_8,ini/mei/final,ambos
23785,ShowViewDialog_9,ini/mei/final,mesmo arquivo
23785,ViewComparator_14,ini/mei,mesmo arquivo
23785,ViewComparator_15,ini/mei,mesmo arquivo
23785,ViewContentProvider_17,ini/mei,mesmo arquivo
23785,ViewLabelProvider_19,ini/mei,mesmo arquivo
23785,ViewLabelProvider_21,ini/mei,mesmo arquivo
23785,ViewLabelProvider_19_rev_1,mei,mesmo arquivo
23785,ViewContentProvider_16_rev_4,apa/des/apa,ambos
23785,ViewContentProvider_17_rev_1,mei,mesmo arquivo
23785,ViewContentProvider_18,mei,mesmo arquivo
23785,ViewContentProvider_19,unique/mei,mesmo arquivo
23785,ViewContentProvider_19_rev_5,mei,mesmo arquivo
23785,ViewContentProvider_20,mei,mesmo arquivo
23785,ShowViewDialog_11_rev_6,mei,mesmo arquivo
23785,ShowViewDialog_11_rev_9,mei,mesmo arquivo
23785,ViewLabelProvider_22_rev_9,mei/final,mesmo arquivo
23785,ViewLabelProvider_23_rev_9,mei/final,mesmo arquivo
23785,ViewLabelProvider_24_rev_9,mei/final,mesmo arquivo
23785,ShowViewDialog_12_rev_1,mei/final,mesmo arquivo
23785,ViewContentProvider_20_rev_9,mei/final,mesmo arquivo
23785,ViewContentProvider_17_rev_9,mei/final,arquivo diferente
23791,PartRenderingEngine_0,unique/mei,mesmo arquivo
23791,PartRenderingEngine_0_rev_2,unique/final,mesmo arquivo
23983,WorkbenchPage_12,unique/ini,mesmo arquivo
23983,WorkbenchPage_15,unique/ini,mesmo arquivo
23983,WorkbenchPage_16,unique/ini,mesmo arquivo
23983,WorkbenchPage_4,unique/ini,mesmo arquivo
23983,WorkbenchPage_5,unique/ini,mesmo arquivo
23983,WorkbenchPage_6,unique/ini,mesmo arquivo
24126,MenuManagerRenderer_1,mei/final,mesmo arquivo
24126,MenuManagerRenderer_10,mei/final,mesmo arquivo
24126,MenuManagerRenderer_2,unique/mei,mesmo arquivo
24126,MenuManagerRenderer_5,mei/final,mesmo arquivo
24126,MenuManagerRenderer_8,mei/final,ambos
24126,MenuManagerRenderer_9,mei/final,mesmo arquivo
24126,MenuManagerRenderer_3_rev_5,mei/final,mesmo arquivo
24162,ToolBarManager_0,mei/final,mesmo arquivo
24162,ToolBarManager_1,mei/final,mesmo arquivo
24266,WorkbenchPlugin_5,ini/mei,mesmo arquivo
24291,PerspectiveSwitcher_2,ini/mei/final,mesmo arquivo
24291,PerspectiveSwitcher_4,ini/mei/final,mesmo arquivo
24315,ModelServiceImpl_2,unique/ini,mesmo arquivo
24315,ModelServiceImpl_2_rev_1,unique/mei,mesmo arquivo
24483,ModelServiceImpl_0,unique/ini,mesmo arquivo
24483,ModelServiceImpl_2,mei/final,mesmo arquivo
24483,ModelServiceImpl_6,mei,mesmo arquivo
24597,CSSPropertyPaddingSWTHandler_0,ini/mei/final,mesmo arquivo
24597,CSSPropertyBackgroundSWTHandler_5,mei/final,mesmo arquivo
24599,ContentViewer_0,apa/des/apa,mesmo arquivo
24599,ContentViewer_2,apa/des/apa,mesmo arquivo
24599,ContentViewer_3,apa/des/apa,mesmo arquivo
24770,TrimStack_1,mei/final,mesmo arquivo
25370,AccumulatingProgressMonitor_1,mei/final,mesmo arquivo
25370,AccumulatingProgressMonitor_3,mei/final,mesmo arquivo
25384,ModelServiceImpl_0,unique/ini/mei/final,mesmo arquivo
25549,ImageBasedFrame_0,ini/mei/final,arquivo diferente
25559,ModelServiceImpl_1,ini/mei/final,mesmo arquivo
25565,MenuManagerRenderer_10,unique/ini,ambos
25565,MenuManagerRenderer_11,unique/ini,mesmo arquivo
25565,MenuManagerRenderer_12,unique/ini,mesmo arquivo
25565,MenuManagerRenderer_2,unique/ini,mesmo arquivo
25565,MenuManagerRenderer_4,unique/ini,mesmo arquivo
25565,MenuManagerRenderer_7,unique/ini,mesmo arquivo
25565,MenuManagerRenderer_10_rev_1,mei,mesmo arquivo
25565,MenuManagerRenderer_13,mei/final,ambos
25565,MenuManagerRenderer_14,mei/final,mesmo arquivo
25565,MenuManagerRenderer_15,mei/final,mesmo arquivo
25565,MenuManagerRenderer_4_rev_1,mei,mesmo arquivo
25565,MenuManagerRenderer_6_rev_1,mei,mesmo arquivo
25565,MenuManagerRenderer_7_rev_1,mei/final,mesmo arquivo
25565,MenuManagerRenderer_10_rev_3,mei/final,mesmo arquivo
25565,MenuManagerRenderer_6_rev_3,mei/final,mesmo arquivo
25587,AccumulatingProgressMonitor_24,unique/mei,mesmo arquivo
25587,AccumulatingProgressMonitor_25,unique/mei,mesmo arquivo
25587,AccumulatingProgressMonitor_26,unique/mei,mesmo arquivo
25587,CleanupAddon_3,unique/mei,mesmo arquivo
25587,CleanupAddon_4,unique/mei,mesmo arquivo
25587,CleanupAddon_5,unique/mei,mesmo arquivo
25587,ContentViewer_27,unique/mei,mesmo arquivo
25587,CSSPropertyBackgroundSWTHandler_0,unique/mei,mesmo arquivo
25587,ExtendedMarkersView_29,unique/mei,mesmo arquivo
25587,IDEApplication_28,unique/mei,arquivo diferente
25587,SelectionService_33,unique/mei,mesmo arquivo
25587,SelectionService_34,unique/mei,mesmo arquivo
25587,ToolBarManagerRenderer_15,unique/mei,arquivo diferente
25748,ViewsPreferencePage_1,ini/mei/final,mesmo arquivo
25751,Filter_0,ini/mei/final,mesmo arquivo
25752,ViewerFilter_0,ini/mei/final,arquivo diferente
25759,Snippet057FileImageDescriptors_3,ini/mei,ambos
25759,Snippet057FileImageDescriptors_3_rev_2,mei/final,ambos
25762,Snippet023TreeViewerCustomTooltips_3,ini/mei,mesmo arquivo
25812,CreateModelAction_5,ini/mei/final,mesmo arquivo
25812,DeleteChildrenAction_6,ini/mei/final,ambos
25812,DeleteSiblingsAction_7,ini/mei/final,ambos
25812,Filter_9,ini/mei,mesmo arquivo
25821,WorkbenchWindow_0,ini/mei,mesmo arquivo
25825,CSSPropertyBackgroundSWTHandler_0,unique/ini/mei/final,mesmo arquivo
25877,WorkbenchWindow_0,unique/ini/mei/final,mesmo arquivo
25987,QuickAccessDialog_0,ini/mei,arquivo diferente
25987,QuickAccessDialog_0_rev_2,mei/final,arquivo diferente
26058,Snippet058VistaProgressBars_0,unique/ini/mei/final,mesmo arquivo
26062,Snippet035TableCursorCellHighlighter_1,ini/mei/final,ambos
26078,Snippet053StartEditorWithContextMenu_2,ini/mei/final,ambos
26078,Snippet054NativeControlsInViewers_3,ini/mei,mesmo arquivo
26078,Snippet058CellNavigationIn34_7,ini/mei/final,mesmo arquivo
26078,Snippet058CellNavigationIn34_8,ini/mei/final,mesmo arquivo
26078,Snippet052DouleClickCellEditor_0,mei/final,arquivo diferente
26096,Snippet000HelloWorld_0,ini/mei/final,arquivo diferente
26248,Snippet040TableViewerSorting_0,ini/mei/final,arquivo diferente
26248,Snippet040TableViewerSorting_1,ini/mei/final,arquivo diferente
26248,Snippet041TableViewerAlternatingColors_3,ini/mei/final,arquivo diferente
26248,Snippet043NoColumnTreeViewerKeyboardEditing_5,ini/mei/final,arquivo diferente
26415,Snippet025TabEditing_2,ini/mei/final,arquivo diferente
26415,Snippet036FocusBorderCellHighlighter_4,ini/mei/final,arquivo diferente
26415,Snippet038TreeViewerInlinelEditingOldAPI_5,ini/mei/final,arquivo diferente
26470,Snippet019TableViewerAddRemoveColumnsWithEditingNewAPI_0,ini/mei/final,arquivo diferente
26470,Snippet019TableViewerAddRemoveColumnsWithEditingNewAPI_1,ini/mei/final,arquivo diferente
26470,Snippet024TableViewerExploreNewAPI_2,ini/mei/final,arquivo diferente
26470,Snippet024TableViewerExploreNewAPI_3,ini/mei/final,arquivo diferente
26490,ToolControlRenderer_0,mei/final,ambos
26491,Snippet002UpdateComboRetainSelection_1,unique/ini/mei/final,mesmo arquivo
26491,Snippet002UpdateComboRetainSelection_2,unique/ini/mei/final,mesmo arquivo
26497,Snippet002UpdateComboRetainSelection_1,unique/final,mesmo arquivo
26497,Snippet002UpdateComboRetainSelection_2,unique/final,mesmo arquivo
26813,Snippet037FancyCustomTooltips_0,ini/mei/final,mesmo arquivo
26951,Snippet018TableViewerAddRemoveColumnsWithEditing_1,ini/mei,arquivo diferente
26951,Snippet056BooleanCellEditor_2,ini/mei/final,arquivo diferente
27236,WorkbenchAdvisor_0,unique/ini/mei/final,arquivo diferente
27392,ContributionsAnalyzer_0,ini/mei/final,mesmo arquivo
28212,WorkbenchWindow_0,unique/ini/mei/final,mesmo arquivo
28212,WorkbenchWindow_1,unique/ini/mei/final,ambos
28212,WorkbenchWindow_10,unique/ini/mei/final,mesmo arquivo
28212,WorkbenchWindow_12,unique/ini/mei/final,mesmo arquivo
28212,WorkbenchWindow_5,unique/ini/mei/final,mesmo arquivo
28212,WorkbenchWindow_6,unique/ini/mei/final,mesmo arquivo
28212,WorkbenchWindow_7,unique/ini/mei/final,mesmo arquivo
28212,WorkbenchWindow_8,unique/ini/mei/final,mesmo arquivo
28212,WorkbenchWindow_9,unique/ini/mei/final,mesmo arquivo
28437,MinMaxAddon_0,ini/mei/final,mesmo arquivo
28791,MenuManager_0,unique/ini,arquivo diferente
28791,MenuManager_0_rev_1,mei,arquivo diferente
28937,TrimBarLayout_0,unique/ini/mei/final,mesmo arquivo
29089,Workbench_0,mei,ambos
29632,ExtensionsSort_0,ini/mei/final,mesmo arquivo
30250,ExtensionsSort_0,unique/ini/mei/final,mesmo arquivo
30446,FilteredTree_0,mei/final,mesmo arquivo
31506,ThemeElementDefinition_0,ini/mei/final,mesmo arquivo
31510,ThemeElementDefinition_0,unique/ini/mei/final,mesmo arquivo
31777,SashLayout_2,unique/ini/mei/final,mesmo arquivo
31828,SaveablesList_0,unique/ini,mesmo arquivo
31828,SaveablesList_1,unique/ini,mesmo arquivo
31828,WorkbenchPage_3,unique/ini,mesmo arquivo
31828,WorkbenchPage_4,unique/ini,mesmo arquivo
31828,WorkbenchPage_2,unique/mei,mesmo arquivo
32074,Snippet053StartEditorWithContextMenu_0,mei/final,ambos
32189,SashRenderer_6,mei/final,mesmo arquivo
32686,MenuManagerShowProcessor_2,mei/final,mesmo arquivo
32686,MenuManagerShowProcessor_3,mei/final,mesmo arquivo
32686,MenuManagerShowProcessor_4,mei/final,mesmo arquivo
32828,MonitoringPreferencePage_10,ini/mei/final,arquivo diferente
33176,MenuManagerHideProcessor_2,ini/mei/final,arquivo diferente
33340,FilterInputDialog_2,ini/mei/final,arquivo diferente
33340,MonitoringPreferencePage_5,ini/mei/final,mesmo arquivo
33340,MonitoringPreferencePage_6,ini/mei/final,ambos
33526,StackRenderer_0,ini/mei,mesmo arquivo
33526,StackRenderer_0_rev_2,mei/final,mesmo arquivo
33571,WorkbenchActionBuilder_10,mei,mesmo arquivo
33571,WorkbenchActionBuilder_13,mei,mesmo arquivo
33571,WorkbenchActionBuilder_14,mei,mesmo arquivo
33571,WorkbenchActionBuilder_16,mei,mesmo arquivo
33571,WorkbenchActionBuilder_17,mei,mesmo arquivo
33571,WorkbenchActionBuilder_18,mei,mesmo arquivo
