review_number,categoria,move_block
1887,,no_clone,
1907,,no_clone,
1911,,no_clone,
1912,FetchResultDialog_13,review with at least one clone,arquivo diferente
1912,RepositoryActionHandler_9,review with at least one clone,arquivo diferente
1912,AbstractBranchSelectionDialog_10,review with at least one clone,mesmo arquivo
1912,CheckoutCommand_22,review with at least one clone,arquivo diferente
1912,PushConfiguredRemoteAction_20,review with at least one clone,arquivo diferente
1913,,no_clone,
1914,FindToolbar_3,review with at least one clone,mesmo arquivo
1914,FindToolbarThread_4,review with at least one clone,mesmo arquivo
1915,,no_clone,
1916,OpenInTextEditorHandler_22,review with at least one clone,arquivo diferente
1916,GitHistoryPage_7,review with at least one clone,mesmo arquivo
1916,OpenInTextEditorHandler_23,review with at least one clone,ambos
1917,RepositoriesViewLabelProvider_11,review with at least one clone,mesmo arquivo
1917,CreateTagCommand_16,review with at least one clone,arquivo diferente
1917,RepositoriesViewLabelProvider_12,review with at least one clone,mesmo arquivo
1917,CommitGraphTable_5,review with at least one clone,mesmo arquivo
1917,EclipseProxySelector_0,review with at least one clone,mesmo arquivo
1917,GraphLabelProvider_7,review with at least one clone,mesmo arquivo
1917,RepositoriesView_9,review with at least one clone,arquivo diferente
1917,TagActionHandler_2,review with at least one clone,arquivo diferente
1917,CheckoutCommitHandler_8,review with at least one clone,arquivo diferente
1918,RepositoriesViewLabelProvider_0,review with at least one clone,mesmo arquivo
1919,GitHistoryPage_0,review with at least one clone,mesmo arquivo
1920,,no_clone,
1921,,no_clone,
1922,,no_clone,
1923,GitHistoryPage_33,review with at least one clone,mesmo arquivo
1923,GitHistoryPage_41,review with at least one clone,mesmo arquivo
1923,GitHistoryPage_36,review with at least one clone,mesmo arquivo
1923,DeleteBranchCommand_46,review with at least one clone,mesmo arquivo
1923,FileDiffLabelProvider_28,review with at least one clone,arquivo diferente
1923,CommitMessageViewer_25,review with at least one clone,ambos
1923,GitHistoryPage_34,review with at least one clone,mesmo arquivo
1923,GitHistoryPage_42,review with at least one clone,mesmo arquivo
1923,GitHistoryPage_43,review with at least one clone,mesmo arquivo
1931,,no_clone,
1932,,no_clone,
1933,,no_clone,
1934,,no_clone,
1935,,no_clone,
1936,,no_clone,
1942,,no_clone,
1943,,no_clone,
1944,,no_clone,
1945,,no_clone,
1946,,no_clone,
1954,GitDocument_1,review with at least one clone,mesmo arquivo
1954,GitDocument_0,review with at least one clone,mesmo arquivo
1956,,no_clone,
1959,,no_clone,
1960,,no_clone,
1972,,no_clone,
1975,,no_clone,
1993,,no_clone,
1994,,no_clone,
1995,,no_clone,
1996,,no_clone,
2001,,no_clone,
2007,,no_clone,
2008,,uninteresting_clone,
2009,,no_clone,
2010,,no_clone,
2013,,no_clone,
2016,,no_clone,
