review_number,block,categoria,tipo,duracao,distancia,move_block
57291,E4Application_1,recorrente,ini/mei,0.4444444444444444,0,ambos
57345,BasicUIJob_3,recorrente,ini/mei,0.4,0,ambos
57345,BindingProcessingAddon_10,recorrente,ini/mei/final,1.0,0,mesmo arquivo
57345,BindingProcessingAddon_11,recorrente,ini/mei,0.4,0,mesmo arquivo
57345,BindingProcessingAddon_5,recorrente,ini/mei/final,1.0,0,mesmo arquivo
57345,BindingProcessingAddon_6,recorrente,ini/mei/final,1.0,0,mesmo arquivo
57345,BindingProcessingAddon_7,recorrente,ini/mei/final,1.0,0,mesmo arquivo
57345,BindingProcessingAddon_8,recorrente,ini/mei/final,1.0,0,mesmo arquivo
57345,BindingProcessingAddon_9,recorrente,ini/mei/final,1.0,0,mesmo arquivo
57345,CSSRenderingUtils_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
57345,FilteredTree_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
57345,BindingProcessingAddon_11_rev_2,recorrente,mei/final,0.6,0.6,mesmo arquivo
57347,AbstractContributionItem_1,recorrente,ini/mei/final,1.0,0,ambos
57347,LazyStackRenderer_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
57347,MenuManagerRenderer_11,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,MenuManagerRenderer_6,recorrente,ini/mei,0.4,0,ambos
57347,MenuManagerRenderer_7,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,MenuManagerRenderer_8,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,MenuManagerRenderer_9,recorrente,ini/mei,0.4,0,ambos
57347,SashLayout_13,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,SashLayout_14,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,StackRenderer_15,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,StackRenderer_16,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,StackRenderer_17,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,StackRenderer_18,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,StackRenderer_21,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,StackRenderer_22,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,WBWRenderer_25,recorrente,ini/mei,0.4,0,mesmo arquivo
57347,StackRenderer_7,recorrente,mei/final,0.6,0.6,mesmo arquivo
57347,StackRenderer_8,recorrente,mei/final,0.6,0.6,mesmo arquivo
57347,StackRenderer_9,recorrente,mei/final,0.6,0.6,mesmo arquivo
57373,MarkAsReadAction_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
57534,BasicUIJob_0,recorrente,ini/mei/final,1.0,0,ambos
57534,FilteredTree_1,recorrente,ini/mei,0.75,0,mesmo arquivo
57534,FilteredTree_1_rev_3,individual,unique/final,0.25,1.0,mesmo arquivo
58344,MenuManagerShowProcessor_1,individual,unique/ini,0.2,0,mesmo arquivo
58344,MenuManagerHideProcessor_1,recorrente,mei,0.4,0.4,mesmo arquivo
58344,MenuManagerShowProcessor_2,recorrente,mei,0.4,0.4,mesmo arquivo
58344,ModelUtils_0,recorrente,mei/final,0.8,0.4,mesmo arquivo
58344,MenuManagerHideProcessor_1_rev_3,recorrente,mei/final,0.4,0.8,mesmo arquivo
58474,ModelServiceImpl_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
58592,PerspectiveBuilder_2,recorrente,ini/mei,0.45454545454545453,0,mesmo arquivo
58592,PerspectiveReader_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
58592,PerspectiveBuilder_0,recorrente,mei/final,0.8181818181818182,0.2727272727272727,mesmo arquivo
59737,ModelUtils_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
59855,ExpandableComposite_0,recorrente,mei/final,0.8333333333333334,0.3333333333333333,mesmo arquivo
60264,SizeCache_4,recorrente,mei,0.2894736842105263,0.18421052631578946,mesmo arquivo
60264,SizeCache_5,recorrente,mei/final,0.5526315789473685,0.47368421052631576,mesmo arquivo
60264,SizeCache_6,recorrente,apa/des/apa,,0.47368421052631576,mesmo arquivo
60264,SizeCache_7,recorrente,apa/des/apa,,0.47368421052631576,mesmo arquivo
60264,SizeCache_8,individual,unique/mei,0.02631578947368421,0.47368421052631576,mesmo arquivo
60264,SizeCache_8_rev_18,recorrente,mei/final,0.5263157894736842,0.5,mesmo arquivo
60264,ExpandableComposite_2,recorrente,mei,0.05263157894736842,0.5526315789473685,mesmo arquivo
60264,SizeCache_10_rev_26,recorrente,mei,0.05263157894736842,0.7105263157894737,mesmo arquivo
60264,SizeCache_11_rev_26,recorrente,mei,0.05263157894736842,0.7105263157894737,mesmo arquivo
60264,SizeCache_12_rev_26,recorrente,mei,0.05263157894736842,0.7105263157894737,mesmo arquivo
60377,PartDescriptorImpl_2,recorrente,ini/mei/final,1.0,0,arquivo diferente
60377,PartDescriptorImpl_3,recorrente,ini/mei/final,1.0,0,arquivo diferente
60379,ListBinding_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
60379,SetBinding_1,individual,unique/ini,0.5,0,arquivo diferente
60679,WorkbenchPage_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
60732,MutableActivityManager_0,individual,unique/ini,0.5,0,mesmo arquivo
60732,MutableActivityManager_0_rev_1,individual,unique/final,0.5,1.0,mesmo arquivo
