review_number,block,categoria,tipo,duracao,distancia,move_block
8644,BinaryMemcachedNodeImpl_120,recorrente,ini/mei,0.3333333333333333,0,ambos
8644,OperationImpl_112,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,CacheConfig_250,individual,unique/ini,0.1111111111111111,0,arquivo diferente
8644,DocsOperationImpl_151,recorrente,ini/mei,0.2222222222222222,0,ambos
8644,Util_192,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,ConfigurationProviderHTTP_230,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,CASMutator_7,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,ReducedOperationImpl_159,recorrente,ini/mei,0.2222222222222222,0,ambos
8644,SerializingTranscoder_199,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,NoDocsOperationImpl_155,recorrente,ini/mei,0.2222222222222222,0,ambos
8644,BaseStoreOperationImpl_106,recorrente,ini/mei,0.3333333333333333,0,ambos
8644,ClientBaseCase_311,individual,unique/ini,0.1111111111111111,0,arquivo diferente
8644,BaseGetOpImpl_98,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,TapCustomOperationImpl_148,recorrente,ini/mei,0.2222222222222222,0,ambos
8644,MultiGetOperationImpl_128,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,ProxyCallback_92,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,ObserverToy_430,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,ConfigurationProviderHTTP_231,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,ResponseMessage_188,recorrente,ini/mei,0.2222222222222222,0,mesmo arquivo
8644,DefaultConfigFactory_267,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,BulkGetFuture_75,recorrente,ini/mei,0.2222222222222222,0,mesmo arquivo
8644,Bucket_247,individual,unique/ini,0.1111111111111111,0,arquivo diferente
8644,IntegerTranscoder_195,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,KeyUtil_31,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,BucketMonitor_213,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,RowNoDocs_161,recorrente,ini/mei,0.2222222222222222,0,mesmo arquivo
8644,AddrUtil_2,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,BinaryMemcachedNodeImpl_117,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
8644,SASLConnectReconnect_432,individual,unique/ini,0.1111111111111111,0,mesmo arquivo
8644,DefaultConfig_262_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,ambos
8644,ConfigurationParserJSON_254,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationProviderHTTP_238_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,DefaultKetamaNodeLocatorConfiguration_209,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,DefaultConfig_261,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,Bucket_246_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,arquivo diferente
8644,DefaultConfigFactory_266,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationProviderHTTP_234_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationProviderHTTP_233_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,LongTranscoder_195,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationProviderHTTP_239_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationParserJSON_256_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,IntegerTranscoder_194,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,Util_191,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationProviderHTTP_232_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,SASLConnectReconnect_429,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,TapOpcode_190,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,BucketMonitor_216,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,SASLConnectReconnect_431_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,WhalinTranscoder_205,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationProviderHTTP_235_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationProviderHTTP_237,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,SerializingTranscoder_198_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationProviderHTTP_229,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,TranscoderUtils_203_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,VBucketNodeLocator_244_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,AbstractNodeLocationCase_272,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,CacheConfig_249_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,arquivo diferente
8644,Node_269,individual,unique/mei,0.1111111111111111,0.2222222222222222,arquivo diferente
8644,BucketMonitor_212,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ClientBaseCase_313_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,BucketUpdateResponseHandler_221_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,Node_270_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ClientBaseCase_309,individual,unique/mei,0.1111111111111111,0.2222222222222222,arquivo diferente
8644,BucketUpdateResponseHandler_219,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,BucketMonitorPipelineFactory_217,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,DefaultConfigFactory_264_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,SerializingTranscoder_197,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,WhalinTranscoder_206_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,ambos
8644,ConfigurationParserJSON_255_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,CacheConfig_248,individual,unique/mei,0.1111111111111111,0.2222222222222222,arquivo diferente
8644,SASLConnectReconnect_433_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,BucketUpdateResponseHandler_220_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationParserJSON_257_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,DefaultConfigFactory_263,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,TranscoderUtils_202_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationParserJSON_259_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationParserJSON_258_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,Util_192_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationProviderHTTP_230_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,TranscoderUtils_201,recorrente,mei/final,0.8888888888888888,0.2222222222222222,mesmo arquivo
8644,VBucketNodeLocator_243,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,DoLotsOfSets_317,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,SerializingTranscoder_199_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,ambos
8644,ClientBaseCase_311_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,Bucket_245,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ConfigurationProviderHTTP_231_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,DefaultConfigFactory_267_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,SASLConnectReconnect_430,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ObserverToy_428,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,ClientBaseCase_312_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,BucketMonitor_213_rev_1,individual,unique/mei,0.1111111111111111,0.2222222222222222,mesmo arquivo
8644,DocsOperationImpl_150,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,ViewOperationImpl_166_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,LongTranscoder_194,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ResponseMessage_179_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ConfigurationParserJSON_254_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ConfigurationProviderHTTP_238_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ViewOperationImpl_167_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,VBucketNodeLocator_242,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ResponseMessage_181_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,DefaultConfig_261_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,TapFlag_188,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ViewsOperationImpl_172_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,DefaultConfigFactory_266_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,Bucket_244,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ReducedOperationImpl_158_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,ConfigurationProviderHTTP_234_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ConfigurationProviderHTTP_233_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ConfigurationParserJSON_253,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ViewOperationImpl_165_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,ConfigurationParserJSON_256_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ResponseMessage_182_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,BucketMonitorPipelineFactory_216,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,CacheConfig_247,individual,unique/mei,0.1111111111111111,0.3333333333333333,arquivo diferente
8644,Util_191_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ClientBaseCase_310_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ResponseMessage_184_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ReducedOperationImpl_157,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,NoDocsOperationImpl_154_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,ReconfigurableObserver_239,individual,unique/mei,0.1111111111111111,0.3333333333333333,arquivo diferente
8644,ConfigurationProviderHTTP_232_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ConfigurationProviderHTTP_236_rev_1,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,SASLConnectReconnect_429_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,RowReduced_161,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,DefaultConfigFactory_262,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,BucketMonitor_215,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,DefaultKetamaNodeLocatorConfiguration_208,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ResponseMessage_187_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,WhalinTranscoder_205_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,ConfigurationProviderHTTP_228,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ViewsOperationImpl_173_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,ResponseMessage_180_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,IntegerTranscoder_193,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,DefaultConfigFactory_265_rev_1,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ConfigurationProviderHTTP_237_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,SerializingTranscoder_198_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,ConfigurationProviderHTTP_229_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,SerializingTranscoder_196,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,BucketMonitor_211,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ResponseMessage_186_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,GetAndTouchOperationImpl_124,recorrente,mei/final,0.7777777777777778,0.3333333333333333,ambos
8644,ObserverToy_427,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,Node_269_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,BucketMonitor_212_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,TapCustomOperationImpl_147,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,DefaultConfig_260,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ViewOperationImpl_164,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,AbstractNodeLocationCase_271,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,BucketUpdateResponseHandler_219_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ResponseMessage_185_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,SASLConnectReconnect_428,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,NoDocsOperationImpl_153,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,ResponseMessage_183_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,SerializingTranscoder_197_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ConfigurationParserJSON_255_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ViewsOperationImpl_171,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,CacheConfig_248_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,arquivo diferente
8644,BucketUpdateResponseHandler_220_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,RowWithDocs_162,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ConfigurationParserJSON_257_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,WhalinTranscoder_204,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,DefaultConfigFactory_263_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,TranscoderUtils_202_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ConfigurationParserJSON_258_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,DocsOperationImpl_151_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,ConfigurationProviderHTTP_230_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,Util_190,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,TranscoderUtils_201_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
8644,ReducedOperationImpl_159_rev_2,individual,unique/mei,0.1111111111111111,0.3333333333333333,ambos
8644,ResponseMessage_178,individual,unique/mei,0.1111111111111111,0.3333333333333333,mesmo arquivo
