review_number,categoria,move_block
56314,,no_clone,
56389,,no_clone,
56443,,no_clone,
56488,,no_clone,
56579,,no_clone,
56586,,no_clone,
56632,,no_clone,
56786,,no_clone,
56822,CheckableCheckedElementsObservableSet_9,review with at least one clone,mesmo arquivo
56822,ControlDecorationSupport_4,review with at least one clone,mesmo arquivo
56822,DialogPageSupport_1,review with at least one clone,arquivo diferente
56822,ObservableCollectionContentProvider_10,review with at least one clone,mesmo arquivo
56822,SWTVetoableValueDecorator_8,review with at least one clone,mesmo arquivo
56822,TableUpdater_7,review with at least one clone,mesmo arquivo
56822,TitleAreaDialogSupport_3,review with at least one clone,ambos
56833,,no_clone,
56861,,no_clone,
56907,,no_clone,
57019,,no_clone,
57036,,no_clone,
57114,,no_clone,
57117,BasicUIJob_0,review with at least one clone,ambos
57117,FilteredTree_1,review with at least one clone,mesmo arquivo
57126,,no_clone,
57305,E4Application_0,review with at least one clone,ambos
57366,,no_clone,
57485,,no_clone,
57486,,no_clone,
57487,,no_clone,
57488,,no_clone,
57489,,no_clone,
57527,,no_clone,
57694,,no_clone,
57939,,no_clone,
57940,,no_clone,
57941,,no_clone,
57991,,no_clone,
57995,,no_clone,
58028,,no_clone,
58245,,no_clone,
58248,,no_clone,
58249,,no_clone,
58250,,no_clone,
58283,,no_clone,
58342,,no_clone,
58833,,no_clone,
58836,,no_clone,
58890,,no_clone,
58989,,no_clone,
59148,,no_clone,
59617,,no_clone,
59619,,no_clone,
59620,,no_clone,
59704,,no_clone,
59713,,no_clone,
59934,,no_clone,
59977,,no_clone,
60076,,no_clone,
60102,,no_clone,
60125,,no_clone,
60128,,no_clone,
60129,,no_clone,
60181,,no_clone,
60230,,no_clone,
60242,,no_clone,
60243,,no_clone,
60272,,no_clone,
60311,,no_clone,
60364,,no_clone,
60383,,no_clone,
60675,,no_clone,
60696,,no_clone,
60782,WorkbenchPage_3,review with at least one clone,mesmo arquivo
61054,,no_clone,
61148,,no_clone,
61419,,no_clone,
61661,,no_clone,
61984,,no_clone,
62045,,no_clone,
62115,,no_clone,
62482,,no_clone,
62710,,no_clone,
62717,,no_clone,
62745,,no_clone,
62760,,no_clone,
62915,ModelServiceImpl_0,review with at least one clone,arquivo diferente
63126,,no_clone,
63341,,no_clone,
63461,,no_clone,
63465,,no_clone,
63467,,no_clone,
63583,,no_clone,
63609,,no_clone,
63614,,no_clone,
63736,,no_clone,
63757,,no_clone,
63761,,no_clone,
64171,TabbedPropertySheetTitleProvider_0,review with at least one clone,mesmo arquivo
64240,,no_clone,
64241,,no_clone,
64307,,no_clone,
64368,AreaRenderer_0,review with at least one clone,ambos
64370,,no_clone,
64399,,no_clone,
64421,,no_clone,
64549,,no_clone,
64810,,no_clone,
64822,,no_clone,
64910,ExternalBrowserInstance_0,review with at least one clone,mesmo arquivo
64911,,no_clone,
64912,,no_clone,
65043,,no_clone,
65244,,no_clone,
65514,,no_clone,
65685,,no_clone,
65718,,no_clone,
65931,,no_clone,
65956,,no_clone,
66024,StackRenderer_0,review with at least one clone,mesmo arquivo
66048,URLImageDescriptor_0,review with at least one clone,mesmo arquivo
66357,,no_clone,
66359,,no_clone,
66543,,no_clone,
66616,,no_clone,
66745,,no_clone,
66976,,no_clone,
67161,,uninteresting_clone,
67241,,no_clone,
67331,,no_clone,
67586,,no_clone,
67596,,no_clone,
67755,,no_clone,
67771,,no_clone,
67870,,no_clone,
67884,,no_clone,
68019,,no_clone,
68055,,no_clone,
68082,,no_clone,
68123,,no_clone,
68188,,no_clone,
68222,,no_clone,
68271,,no_clone,
68272,,no_clone,
68313,,no_clone,
68449,,no_clone,
68573,,no_clone,
68696,,no_clone,
68969,,no_clone,
69016,,no_clone,
69343,,no_clone,
69585,,no_clone,
69674,,no_clone,
69675,,no_clone,
69691,,no_clone,
69988,,no_clone,
69989,,no_clone,
70043,,no_clone,
70122,SmartImportRootWizardPage_0,review with at least one clone,mesmo arquivo
70174,,no_clone,
70179,,no_clone,
