id,review_number,revision_number,author,status,change_id,url,original_before_commit_id,original_after_commit_id,before_commit_id,after_commit_id
936_rev1,936,1,Blair Zajac,MERGED,Ie4697bc3f9923e7c2ba981ca334b0df9d1ab7315,http://review.couchbase.org/#/c/936/1,a403efef770d44378429d178d08e22b4300e351d,87a5e78bebfd6e75ef4ca5d6325ceb8e685e540c,3637b890f5477b355b653e95a44d222317cc2711,ed602935ecd726dc7a4bdc0437be58a0c467423f
999_rev1,999,1,Boris Partensky,MERGED,Ic0e3d14c8d7ff7001c3440683fa4274b119e4d31,http://review.couchbase.org/#/c/999/1,f8111142520726952a49f7c7f9c223680c224acf,c0e3d14c8d7ff7001c3440683fa4274b119e4d31,2c12c43fbe6602fa6970521530df9de5a5861f26,2ddcf8ff5377b596dca5313e85c09150a0cb894c
999_rev2,999,2,Boris Partensky,MERGED,Ic0e3d14c8d7ff7001c3440683fa4274b119e4d31,http://review.couchbase.org/#/c/999/2,f0311f7d4ae79378eb81890277a115ec84ea4ce7,70460d40400a1062e129d0f17b2208c59d654e62,dd8696565ea414739aa87edfe42899f010d79dcd,370153667de096a35a5da28290061189c91b2a15
1228_rev1,1228,1,Boris Partensky,ABANDONED,Iec0326e81b6f1f8a29fb39d6d422b1bf2a8fb639,http://review.couchbase.org/#/c/1228/1,f0311f7d4ae79378eb81890277a115ec84ea4ce7,ec0326e81b6f1f8a29fb39d6d422b1bf2a8fb639,e8f9c46c0173051de0671847a7fcd9029f47436c,dbdfd34296d753722e71f23b90710aaa88002c06
2698_rev1,2698,1,Alexander Sokolovsky,ABANDONED,I23fce77b11d747ef7b6bfcf4e55bf9214bd3ff62,http://review.couchbase.org/#/c/2698/1,3b3b3c856c6578aa7f1b887032c2a3fe0ff8f182,23fce77b11d747ef7b6bfcf4e55bf9214bd3ff62,dbdfd34296d753722e71f23b90710aaa88002c06,13f8dc2fe254d34df6f4005a04014af4cc2b2463
2699_rev1,2699,1,Alexander Sokolovsky,ABANDONED,Ie604f5c2f15502f0749d776b66c816f32c8b0033,http://review.couchbase.org/#/c/2699/1,23fce77b11d747ef7b6bfcf4e55bf9214bd3ff62,e604f5c2f15502f0749d776b66c816f32c8b0033,13f8dc2fe254d34df6f4005a04014af4cc2b2463,546dd1fa69379687e281c3b7fcbbc3ab97420c58
2700_rev1,2700,1,Alexander Sokolovsky,ABANDONED,If1ef1c145a904d148c90d4382252686f6c5ac1b9,http://review.couchbase.org/#/c/2700/1,e604f5c2f15502f0749d776b66c816f32c8b0033,f1ef1c145a904d148c90d4382252686f6c5ac1b9,546dd1fa69379687e281c3b7fcbbc3ab97420c58,d370b45e3cd2196d595aa709c9563005f7e6f19f
2701_rev1,2701,1,Alexander Sokolovsky,ABANDONED,I0d087660e92570181164021c15e74e7c68131125,http://review.couchbase.org/#/c/2701/1,f1ef1c145a904d148c90d4382252686f6c5ac1b9,0d087660e92570181164021c15e74e7c68131125,d370b45e3cd2196d595aa709c9563005f7e6f19f,497b66daf1caa4ad00678a75ccbbe9980418a5c5
2702_rev1,2702,1,Alexander Sokolovsky,ABANDONED,I29966ffa35c78c12f29b01c22c17cb22fac798d0,http://review.couchbase.org/#/c/2702/1,0d087660e92570181164021c15e74e7c68131125,29966ffa35c78c12f29b01c22c17cb22fac798d0,497b66daf1caa4ad00678a75ccbbe9980418a5c5,8041fdb097cbe21b879148590467dc6669ed7529
2896_rev1,2896,1,Alexander Sokolovsky,ABANDONED,I74247aad2b09e5d5222b2a55e66341b155cefb99,http://review.couchbase.org/#/c/2896/1,3b3b3c856c6578aa7f1b887032c2a3fe0ff8f182,74247aad2b09e5d5222b2a55e66341b155cefb99,008d987d1923cfcc7bbced040ddbc88f4a587167,d6f76dfd6a4ca76620c0665be982dc61215eb5c1
2897_rev1,2897,1,Alexander Sokolovsky,ABANDONED,I6e54989542f5dcacefa3888ce6385097c77b78f8,http://review.couchbase.org/#/c/2897/1,74247aad2b09e5d5222b2a55e66341b155cefb99,6e54989542f5dcacefa3888ce6385097c77b78f8,d6f76dfd6a4ca76620c0665be982dc61215eb5c1,60bda410cac97d7598bb17559cd01a25ea3c7d1a
2898_rev1,2898,1,Alexander Sokolovsky,ABANDONED,I1db119f659270de80ea5abd76765026a5a5a8831,http://review.couchbase.org/#/c/2898/1,6e54989542f5dcacefa3888ce6385097c77b78f8,1db119f659270de80ea5abd76765026a5a5a8831,60bda410cac97d7598bb17559cd01a25ea3c7d1a,8fbde45f679ce2419704dc4fae5d62fab83ccc54
