review_number,type_of_revisions,clone_exists
857,multipla,no_clone
858,multipla,no_clone
859,multipla,review with at least one clone
860,multipla,review with at least one clone
880,multipla,no_clone
884,multipla,no_clone
885,multipla,no_clone
886,unica,no_clone
887,unica,no_clone
890,multipla,review with at least one clone
897,unica,no_clone
899,unica,no_clone
903,unica,no_clone
912,multipla,no_clone
913,multipla,no_clone
914,multipla,no_clone
915,multipla,review with at least one clone
916,multipla,no_clone
917,multipla,no_clone
918,multipla,no_clone
919,multipla,no_clone
920,multipla,no_clone
921,unica,no_clone
922,multipla,review with at least one clone
923,multipla,no_clone
924,multipla,no_clone
925,multipla,no_clone
926,unica,no_clone
932,unica,no_clone
933,unica,no_clone
934,unica,no_clone
935,unica,no_clone
937,multipla,no_clone
938,multipla,no_clone
940,unica,no_clone
941,unica,no_clone
944,unica,no_clone
945,unica,no_clone
946,unica,no_clone
947,unica,no_clone
948,unica,no_clone
949,unica,no_clone
950,unica,no_clone
951,unica,no_clone
952,unica,no_clone
953,unica,no_clone
954,unica,no_clone
955,unica,uninteresting_clone
956,unica,no_clone
957,unica,no_clone
958,unica,no_clone
959,unica,no_clone
960,unica,no_clone
961,unica,no_clone
962,unica,no_clone
963,unica,no_clone
964,unica,no_clone
965,unica,no_clone
966,unica,no_clone
967,unica,no_clone
968,unica,no_clone
969,unica,uninteresting_clone
970,unica,no_clone
971,unica,no_clone
972,unica,no_clone
973,unica,review with at least one clone
974,unica,no_clone
979,multipla,no_clone
980,unica,no_clone
982,unica,no_clone
983,unica,no_clone
984,unica,no_clone
985,unica,no_clone
986,unica,no_clone
987,unica,review with at least one clone
988,unica,no_clone
989,unica,no_clone
990,unica,no_clone
991,unica,no_clone
992,unica,no_clone
993,unica,no_clone
994,unica,no_clone
995,unica,no_clone
996,unica,review with at least one clone
997,unica,no_clone
1001,multipla,no_clone
1002,unica,review with at least one clone
1003,unica,no_clone
1004,unica,review with at least one clone
1013,unica,no_clone
1014,unica,no_clone
1015,multipla,no_clone
1016,unica,no_clone
1022,unica,no_clone
1023,unica,no_clone
1024,unica,no_clone
1025,unica,no_clone
1026,unica,no_clone
1029,multipla,no_clone
1032,unica,no_clone
1033,unica,no_clone
1034,unica,no_clone
1035,unica,no_clone
1036,multipla,no_clone
1040,multipla,no_clone
1041,unica,no_clone
1042,multipla,no_clone
1043,unica,review with at least one clone
1044,multipla,no_clone
1045,multipla,no_clone
1046,multipla,no_clone
1047,multipla,no_clone
1048,multipla,review with at least one clone
1049,multipla,no_clone
1050,unica,no_clone
1051,unica,no_clone
1052,unica,no_clone
1053,unica,no_clone
1054,unica,no_clone
1055,unica,no_clone
1056,multipla,no_clone
1059,multipla,no_clone
1067,unica,no_clone
1072,multipla,uninteresting_clone
1073,multipla,no_clone
1077,multipla,review with at least one clone
1078,multipla,no_clone
1081,unica,no_clone
1083,multipla,no_clone
1085,multipla,review with at least one clone
1091,multipla,no_clone
1092,multipla,no_clone
1093,multipla,no_clone
1095,unica,no_clone
1096,multipla,no_clone
1097,unica,no_clone
1098,unica,no_clone
1099,unica,no_clone
1100,unica,no_clone
1101,unica,review with at least one clone
1102,unica,no_clone
1103,unica,no_clone
1104,unica,no_clone
1105,unica,no_clone
1106,unica,no_clone
1107,unica,no_clone
1108,unica,no_clone
1109,unica,no_clone
1110,unica,no_clone
1111,unica,no_clone
1112,unica,no_clone
1113,unica,no_clone
1114,unica,uninteresting_clone
1115,unica,review with at least one clone
1116,unica,no_clone
1121,multipla,no_clone
1122,multipla,no_clone
1123,multipla,uninteresting_clone
1125,multipla,no_clone
1130,multipla,review with at least one clone
1134,unica,no_clone
1137,unica,no_clone
1140,unica,review with at least one clone
1141,unica,no_clone
1142,multipla,no_clone
1143,multipla,no_clone
1147,multipla,review with at least one clone
1148,multipla,no_clone
1150,unica,no_clone
1151,unica,uninteresting_clone
1152,multipla,review with at least one clone
1153,unica,uninteresting_clone
1154,unica,no_clone
1155,unica,no_clone
1156,multipla,review with at least one clone
1157,unica,no_clone
1158,unica,no_clone
1161,multipla,no_clone
1162,multipla,no_clone
1163,unica,uninteresting_clone
1164,unica,no_clone
1165,unica,uninteresting_clone
1166,multipla,no_clone
1169,multipla,uninteresting_clone
1170,multipla,uninteresting_clone
1171,unica,review with at least one clone
1172,multipla,no_clone
1174,multipla,no_clone
1178,unica,no_clone
1179,multipla,no_clone
1180,unica,review with at least one clone
1182,unica,uninteresting_clone
1183,unica,no_clone
1185,multipla,no_clone
1186,unica,no_clone
1187,unica,no_clone
1188,multipla,review with at least one clone
1189,multipla,no_clone
1190,multipla,no_clone
1191,multipla,no_clone
1192,unica,no_clone
1193,unica,no_clone
1195,multipla,no_clone
1197,unica,no_clone
1199,unica,no_clone
1203,multipla,no_clone
1204,multipla,uninteresting_clone
1212,unica,no_clone
1214,multipla,no_clone
1215,multipla,no_clone
1216,multipla,no_clone
1217,multipla,no_clone
1218,multipla,no_clone
1219,multipla,no_clone
1220,multipla,no_clone
1221,multipla,no_clone
1222,multipla,no_clone
1223,multipla,no_clone
1224,multipla,no_clone
1225,multipla,no_clone
1226,multipla,no_clone
1230,multipla,no_clone
1231,multipla,uninteresting_clone
1232,multipla,uninteresting_clone
1233,multipla,no_clone
1237,unica,uninteresting_clone
1239,multipla,no_clone
1246,multipla,no_clone
1248,unica,review with at least one clone
1260,unica,no_clone
1261,unica,no_clone
1262,unica,no_clone
1267,unica,no_clone
1276,unica,no_clone
1281,multipla,no_clone
1290,multipla,no_clone
1293,multipla,no_clone
1299,unica,no_clone
1308,unica,no_clone
1309,multipla,no_clone
1310,unica,no_clone
1313,unica,no_clone
1314,unica,no_clone
1315,multipla,no_clone
1316,multipla,no_clone
1320,multipla,review with at least one clone
1322,multipla,no_clone
1324,multipla,review with at least one clone
1331,multipla,no_clone
1333,multipla,no_clone
1334,multipla,no_clone
1335,unica,no_clone
1340,unica,no_clone
1341,unica,no_clone
1342,unica,no_clone
1343,unica,no_clone
1352,unica,no_clone
1356,multipla,no_clone
1362,unica,no_clone
1363,unica,no_clone
1364,unica,no_clone
1365,unica,no_clone
1366,unica,no_clone
1367,unica,no_clone
1370,unica,no_clone
1371,unica,review with at least one clone
1382,unica,no_clone
1383,unica,no_clone
1384,unica,no_clone
1385,unica,no_clone
1386,unica,no_clone
1387,unica,review with at least one clone
1389,unica,review with at least one clone
1396,multipla,no_clone
1397,multipla,no_clone
1398,multipla,no_clone
1399,multipla,no_clone
1400,multipla,no_clone
1401,multipla,no_clone
1402,multipla,no_clone
1403,multipla,no_clone
1406,unica,no_clone
1407,multipla,no_clone
1408,multipla,no_clone
1409,multipla,no_clone
1410,multipla,no_clone
1418,unica,no_clone
1426,unica,no_clone
1427,unica,no_clone
1428,unica,no_clone
1430,unica,no_clone
1431,unica,no_clone
1433,unica,no_clone
1435,multipla,no_clone
1441,unica,no_clone
1442,multipla,no_clone
1444,multipla,no_clone
1446,multipla,no_clone
1447,multipla,no_clone
1449,multipla,no_clone
1450,unica,no_clone
1452,multipla,no_clone
1454,unica,no_clone
1458,unica,no_clone
1459,unica,no_clone
1460,unica,no_clone
1462,unica,no_clone
1463,multipla,no_clone
1465,unica,no_clone
1466,multipla,no_clone
1470,unica,no_clone
1472,unica,no_clone
1473,unica,no_clone
1475,unica,no_clone
1476,unica,no_clone
1477,multipla,no_clone
1480,unica,no_clone
1481,unica,no_clone
1482,unica,no_clone
1483,unica,no_clone
1484,unica,no_clone
1485,unica,no_clone
1486,unica,review with at least one clone
1487,unica,no_clone
1488,multipla,no_clone
1489,multipla,no_clone
1490,multipla,no_clone
1491,multipla,no_clone
1492,multipla,no_clone
1493,multipla,no_clone
1494,multipla,no_clone
1495,unica,no_clone
1497,unica,no_clone
1498,unica,no_clone
1499,multipla,no_clone
1500,unica,no_clone
1501,multipla,no_clone
1502,multipla,no_clone
