review_number,type_of_revisions,clone_exists
590,multipla,no_clone
592,multipla,no_clone
593,multipla,no_clone
595,unica,no_clone
596,unica,no_clone
597,unica,no_clone
599,multipla,no_clone
600,multipla,no_clone
601,multipla,no_clone
602,unica,no_clone
604,multipla,no_clone
605,multipla,no_clone
606,multipla,no_clone
607,multipla,uninteresting_clone
608,multipla,no_clone
609,multipla,uninteresting_clone
613,multipla,no_clone
614,multipla,uninteresting_clone
615,multipla,review with at least one clone
616,unica,no_clone
617,unica,no_clone
619,unica,no_clone
621,multipla,review with at least one clone
622,unica,no_clone
623,multipla,no_clone
624,multipla,review with at least one clone
625,unica,no_clone
626,unica,no_clone
627,unica,no_clone
631,multipla,review with at least one clone
632,multipla,no_clone
634,unica,no_clone
636,multipla,no_clone
637,unica,no_clone
638,unica,no_clone
639,unica,no_clone
640,unica,no_clone
641,multipla,review with at least one clone
642,multipla,no_clone
644,multipla,no_clone
645,unica,no_clone
646,multipla,no_clone
647,multipla,review with at least one clone
648,unica,no_clone
649,unica,no_clone
650,multipla,review with at least one clone
651,unica,review with at least one clone
652,multipla,no_clone
653,unica,no_clone
654,unica,no_clone
655,unica,no_clone
656,unica,review with at least one clone
657,unica,no_clone
658,unica,no_clone
659,unica,no_clone
660,unica,no_clone
661,unica,review with at least one clone
662,multipla,no_clone
663,unica,no_clone
664,multipla,review with at least one clone
665,multipla,review with at least one clone
666,unica,no_clone
668,multipla,no_clone
669,unica,no_clone
670,unica,no_clone
671,multipla,no_clone
672,unica,review with at least one clone
673,unica,no_clone
674,unica,no_clone
675,unica,no_clone
676,unica,review with at least one clone
677,multipla,review with at least one clone
679,multipla,no_clone
680,unica,no_clone
686,multipla,no_clone
687,unica,no_clone
688,multipla,no_clone
690,unica,no_clone
691,unica,no_clone
692,unica,review with at least one clone
693,unica,no_clone
698,unica,no_clone
699,multipla,review with at least one clone
700,unica,no_clone
701,unica,no_clone
702,multipla,no_clone
703,unica,review with at least one clone
713,unica,review with at least one clone
714,multipla,review with at least one clone
715,multipla,no_clone
716,multipla,no_clone
717,multipla,no_clone
718,unica,no_clone
719,multipla,no_clone
720,unica,no_clone
722,multipla,no_clone
724,multipla,review with at least one clone
725,unica,no_clone
726,multipla,no_clone
727,unica,no_clone
730,unica,no_clone
731,unica,no_clone
732,unica,no_clone
733,multipla,no_clone
734,unica,no_clone
735,multipla,no_clone
736,multipla,no_clone
737,unica,review with at least one clone
738,unica,no_clone
739,unica,no_clone
740,unica,no_clone
741,unica,no_clone
742,unica,no_clone
743,multipla,no_clone
744,unica,no_clone
745,multipla,no_clone
746,multipla,no_clone
747,unica,no_clone
748,unica,no_clone
749,multipla,no_clone
750,multipla,no_clone
751,unica,no_clone
752,unica,review with at least one clone
